id x y model.climate.tableName model.site.availableNitrogen model.site.soilDepth model.site.pctSand model.site.pctSilt model.site.pctClay
1 0 0 BF81 55 30 34 33 33
2 1 0 BF81 55 30 34 33 33
3 2 0 BF81 55 30 34 33 33
4 3 0 BF81 55 30 34 33 33
5 4 0 BF81 55 30 34 33 33
6 5 0 BF81 55 30 34 33 33
7 6 0 BF81 55 30 34 33 33
8 7 0 BF81 55 30 34 33 33
9 8 0 BF81 55 30 34 33 33
10 9 0 BF81 55 30 34 33 33
11 10 0 BF81 55 30 34 33 33
12 11 0 BF81 55 30 34 33 33
13 12 0 BF63 55 30 34 33 33
14 13 0 BF63 55 30 34 33 33
15 14 0 BF63 55 30 34 33 33
16 15 0 BF63 55 30 34 33 33
17 16 0 BF63 55 30 34 33 33
18 17 0 BF63 55 30 34 33 33
19 18 0 BF63 55 30 34 33 33
20 19 0 BF63 55 30 34 33 33
21 20 0 DC33 55 30 34 33 33
22 21 0 DC33 55 30 34 33 33
23 22 0 DC33 55 30 34 33 33
24 23 0 DC33 55 30 34 33 33
25 24 0 DC33 55 30 34 33 33
26 25 0 DC33 55 30 34 33 33
27 0 1 DC52 55 30 34 33 33
28 1 1 DC52 55 30 34 33 33
29 2 1 DC52 55 30 34 33 33
30 3 1 DC52 55 30 34 33 33
31 4 1 DC52 55 30 34 33 33
32 5 1 DC52 55 30 34 33 33
33 6 1 DC36 55 30 34 33 33
34 7 1 DC36 55 30 34 33 33
35 8 1 DC53 55 30 34 33 33
36 9 1 DC53 55 30 34 33 33
37 10 1 DC53 55 30 34 33 33
38 11 1 DC53 55 30 34 33 33
39 12 1 DC53 55 30 34 33 33
40 13 1 DC53 55 30 34 33 33
41 14 1 DC46 55 30 34 33 33
42 15 1 DC46 55 30 34 33 33
43 16 1 DC46 55 30 34 33 33
44 17 1 DC46 55 30 34 33 33
45 18 1 DC46 55 30 34 33 33
46 19 1 DC46 55 30 34 33 33
47 20 1 DC46 55 30 34 33 33
48 21 1 DC46 55 30 34 33 33
49 22 1 DC46 55 30 34 33 33
50 23 1 DC46 55 30 34 33 33
51 24 1 DC46 55 30 34 33 33
52 25 1 DC46 55 30 34 33 33
