id x y model.climate.tableName model.site.availableNitrogen model.site.soilDepth model.site.pctSand model.site.pctSilt model.site.pctClay
1 0 0 BF71 55 30 34 33 33
2 1 0 BF82 55 30 34 33 33
3 2 0 BF82 55 30 34 33 33
4 3 0 BF82 55 30 34 33 33
5 4 0 BF82 55 30 34 33 33
6 5 0 BF82 55 30 34 33 33
7 6 0 BF82 55 30 34 33 33
8 7 0 BF82 55 30 34 33 33
9 8 0 BF82 55 30 34 33 33
10 9 0 BF82 55 30 34 33 33
11 10 0 BF82 55 30 34 33 33
12 11 0 BF82 55 30 34 33 33
13 12 0 BF82 55 30 34 33 33
14 13 0 BF83 55 30 34 33 33
15 14 0 BF83 55 30 34 33 33
16 15 0 BF83 55 30 34 33 33
17 16 0 BF83 55 30 34 33 33
18 17 0 BF83 55 30 34 33 33
19 18 0 BF83 55 30 34 33 33
20 19 0 BF83 55 30 34 33 33
21 20 0 BF83 55 30 34 33 33
22 21 0 BF83 55 30 34 33 33
23 22 0 BF83 55 30 34 33 33
24 23 0 BF99 55 30 34 33 33
25 24 0 BF99 55 30 34 33 33
26 0 1 BF99 55 30 34 33 33
27 1 1 BF99 55 30 34 33 33
28 2 1 BF99 55 30 34 33 33
29 3 1 BF99 55 30 34 33 33
30 4 1 BF99 55 30 34 33 33
31 5 1 BF99 55 30 34 33 33
32 6 1 BF99 55 30 34 33 33
33 7 1 BF99 55 30 34 33 33
34 8 1 BF99 55 30 34 33 33
35 9 1 BF99 55 30 34 33 33
36 10 1 BF81 55 30 34 33 33
37 11 1 BF81 55 30 34 33 33
38 12 1 BF81 55 30 34 33 33
39 13 1 BF81 55 30 34 33 33
40 14 1 BF81 55 30 34 33 33
41 15 1 BF81 55 30 34 33 33
42 16 1 BF81 55 30 34 33 33
43 17 1 BF81 55 30 34 33 33
44 18 1 BF81 55 30 34 33 33
45 19 1 BF81 55 30 34 33 33
46 20 1 BF81 55 30 34 33 33
47 21 1 BF81 55 30 34 33 33
48 22 1 BF77 55 30 34 33 33
49 23 1 BF77 55 30 34 33 33
50 24 1 BF77 55 30 34 33 33
