id x y model.climate.tableName model.site.availableNitrogen model.site.soilDepth model.site.pctSand model.site.pctSilt model.site.pctClay
1 0 0 BF71 55 30 34 33 33
2 1 0 BF99 55 30 34 33 33
3 2 0 BF99 55 30 34 33 33
4 3 0 BF99 55 30 34 33 33
5 4 0 BF99 55 30 34 33 33
6 5 0 BF99 55 30 34 33 33
7 6 0 BF99 55 30 34 33 33
8 7 0 BF99 55 30 34 33 33
9 8 0 BF99 55 30 34 33 33
10 9 0 BF99 55 30 34 33 33
11 10 0 BF99 55 30 34 33 33
12 11 0 BF99 55 30 34 33 33
13 12 0 BF99 55 30 34 33 33
14 13 0 BF77 55 30 34 33 33
15 14 0 BF77 55 30 34 33 33
16 15 0 BF77 55 30 34 33 33
17 16 0 DC48 55 30 34 33 33
18 17 0 DC48 55 30 34 33 33
19 18 0 DC48 55 30 34 33 33
20 19 0 DC48 55 30 34 33 33
21 20 0 DC48 55 30 34 33 33
22 0 1 DC48 55 30 34 33 33
23 1 1 DC48 55 30 34 33 33
24 2 1 DC48 55 30 34 33 33
25 3 1 DC48 55 30 34 33 33
26 4 1 DC48 55 30 34 33 33
27 5 1 DC48 55 30 34 33 33
28 6 1 DC52 55 30 34 33 33
29 7 1 DC52 55 30 34 33 33
30 8 1 DC52 55 30 34 33 33
31 9 1 DC52 55 30 34 33 33
32 10 1 DC52 55 30 34 33 33
33 11 1 DC52 55 30 34 33 33
34 12 1 DC55 55 30 34 33 33
35 13 1 DC55 55 30 34 33 33
36 14 1 DC55 55 30 34 33 33
37 15 1 DC55 55 30 34 33 33
38 16 1 DC55 55 30 34 33 33
39 17 1 DC55 55 30 34 33 33
40 18 1 DC55 55 30 34 33 33
41 19 1 DC55 55 30 34 33 33
42 20 1 DC55 55 30 34 33 33
43 0 2 DC55 55 30 34 33 33
44 1 2 DC55 55 30 34 33 33
45 2 2 DC55 55 30 34 33 33
46 3 2 DC53 55 30 34 33 33
47 4 2 DC53 55 30 34 33 33
48 5 2 DC53 55 30 34 33 33
49 6 2 DC53 55 30 34 33 33
50 7 2 DC53 55 30 34 33 33
51 8 2 DC53 55 30 34 33 33
52 9 2 DC46 55 30 34 33 33
53 10 2 DC46 55 30 34 33 33
54 11 2 DC46 55 30 34 33 33
55 12 2 DC46 55 30 34 33 33
56 13 2 DC46 55 30 34 33 33
57 14 2 DC46 55 30 34 33 33
58 15 2 DC46 55 30 34 33 33
59 16 2 DC46 55 30 34 33 33
60 17 2 DC46 55 30 34 33 33
61 18 2 DC46 55 30 34 33 33
62 19 2 DC46 55 30 34 33 33
63 20 2 DC46 55 30 34 33 33
