"stand_id";"species";"count";"DBH_from";"DBH_to";"hd";"age"
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;2.08;2.28;197.16;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;2.46;2.66;171.51;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;2.62;2.82;162.73;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;3.45;3.65;128.84;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;2.44;2.64;172.48;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;1.22;1.42;304.69;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;3.06;3.26;142.84;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;2.19;2.39;189.14;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;1.97;2.17;206.42;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;2.48;2.68;170.02;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;1.25;1.45;298.73;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;2.9;3.1;149.18;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;2.4;2.6;175.28;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;1.5;1.7;258.37;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;3.52;3.72;126.85;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;1.96;2.16;206.71;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;1.73;1.93;229.23;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;1.85;2.05;217.71;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;1.48;1.68;260.65;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;1.37;1.57;278.21;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;1.85;2.05;217.59;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;2.64;2.84;161.71;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;0.85;1.05;406.19;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;4.87;5.07;96.25;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;2.45;2.65;171.95;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;3.49;3.69;127.68;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;2.85;3.05;151.57;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;1.63;1.83;240.5;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;3.37;3.57;131.56;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;3.11;3.31;140.92;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;2.52;2.72;168.1;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;2.89;3.09;149.58;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;1.71;1.91;231.48;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;2.65;2.85;161.27;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;0.88;1.08;394.62;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;2.32;2.52;180.32;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;1.58;1.78;247.1;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;1.68;1.88;235.71;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;1.38;1.58;276.48;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;2.63;2.83;162.3;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;2.07;2.27;197.86;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;2.88;3.08;150.34;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;3.13;3.33;139.98;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;1.86;2.06;216.42;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;1.13;1.33;324.04;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;3.53;3.73;126.6;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;1.83;2.03;219.09;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;5.79;5.99;83.04;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;1.78;1.98;224.28;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;2.93;3.13;147.85;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;2.24;2.44;185.65;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;3.22;3.42;136.6;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;1.79;1.99;223.24;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;3.37;3.57;131.68;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;2.53;2.73;167.34;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;2.04;2.24;200.01;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;4.37;4.57;105.55;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;1.67;1.87;236.2;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;2.48;2.68;170.38;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;2.66;2.86;160.44;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;1.88;2.08;214.49;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;1.03;1.23;349.49;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;1.25;1.45;299.38;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;1.47;1.67;262.78;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;2.88;3.08;150.15;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;3.07;3.27;142.5;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;1.94;2.14;208.67;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;1.77;1.97;225.13;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;1.95;2.15;208.21;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;2.78;2.98;154.62;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;2.41;2.61;174.5;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;2.11;2.31;194.75;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;2;2.2;203.92;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;2.38;2.58;176.13;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;5.77;5.97;83.3;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;1.83;2.03;218.87;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;2.64;2.84;161.49;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;1.87;2.07;215.22;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;1.57;1.77;249.05;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;2.03;2.23;201.52;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;2.29;2.49;181.94;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;1.68;1.88;235.13;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;3.41;3.61;130.12;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;3.35;3.55;132.17;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;2.35;2.55;178;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;3.41;3.61;130.38;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;1.32;1.52;287.13;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;3.55;3.75;125.77;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;2.66;2.86;160.75;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;4;4.2;113.84;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;2.26;2.46;184.3;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;1;1.2;356.22;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;3.92;4.12;115.65;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;2.23;2.43;185.77;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;3.41;3.61;130.29;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;2.17;2.37;190.24;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;2.32;2.52;180.09;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;2.46;2.66;171.34;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;2.38;2.58;176.24;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;2.82;3.02;153.09;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;2.14;2.34;192.75;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;2.55;2.75;166.16;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;3.39;3.59;130.87;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;0.95;1.15;373.04;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;1.11;1.31;328.34;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;2.7;2.9;158.48;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;0.88;1.08;396.67;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;1.1;1.3;332.23;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;2.63;2.83;161.95;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;2.81;3.01;153.53;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;1.42;1.62;270.47;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;3.45;3.65;128.98;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;1.91;2.11;212.02;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;2.33;2.53;179.68;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;2.35;2.55;178.15;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;1.89;2.09;213.39;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;2.71;2.91;158.07;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;2.11;2.31;194.81;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;2.69;2.89;159.15;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;3.69;3.89;121.98;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;2.4;2.6;174.9;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;2.62;2.82;162.88;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;1.18;1.38;312.61;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;2.27;2.47;183.04;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;1.3;1.5;290.68;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;1.85;2.05;216.84;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;1.99;2.19;204.64;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;2.76;2.96;155.65;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;1.32;1.52;286.26;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;1.74;1.94;229.03;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;2.98;3.18;146.04;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;1.94;2.14;208.67;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;3.66;3.86;122.7;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;2.24;2.44;185.67;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;3.05;3.25;142.96;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;3.47;3.67;128.27;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;1.69;1.89;233.85;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;1.86;2.06;216.35;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;1.61;1.81;244.03;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;4.16;4.36;109.96;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;2.21;2.41;187.51;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;4.09;4.29;111.77;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;3.02;3.22;144.3;20
