"stand_id";"species";"count";"height_from";"height_to";"age"
1;"Potr";867.66;1.56;1.76;20
1;"Potr";867.66;0.72;0.92;20
1;"Potr";867.66;0.64;0.84;20
1;"Potr";867.66;2.23;2.43;20
1;"Potr";867.66;0.19;0.39;20
1;"Potr";867.66;1.16;1.36;20
1;"Potr";867.66;2.05;2.25;20
1;"Potr";867.66;1.31;1.51;20
1;"Potr";867.66;1.79;1.99;20
1;"Potr";867.66;1.24;1.44;20
1;"Potr";867.66;1.38;1.58;20
1;"Potr";867.66;0.58;0.78;20
1;"Potr";867.66;1.24;1.44;20
1;"Potr";867.66;1.69;1.89;20
1;"Potr";867.66;0.98;1.18;20
1;"Potr";867.66;2.52;2.72;20
1;"Potr";867.66;1.07;1.27;20
1;"Potr";867.66;3.15;3.35;20
1;"Potr";867.66;1.48;1.68;20
1;"Potr";867.66;2.82;3.02;20
1;"Potr";867.66;0.54;0.74;20
1;"Potr";867.66;1.34;1.54;20
1;"Potr";867.66;1.72;1.92;20
1;"Potr";867.66;0.86;1.06;20
1;"Potr";867.66;0.8;1;20
2;"Potr";415.45;0.29;0.49;20
2;"Potr";415.45;1.52;1.72;20
2;"Potr";415.45;3.25;3.45;20
2;"Potr";415.45;0.67;0.87;20
2;"Potr";415.45;2.29;2.49;20
2;"Potr";415.45;1.53;1.73;20
2;"Potr";415.45;0.51;0.71;20
2;"Potr";415.45;0.68;0.88;20
2;"Potr";415.45;1.27;1.47;20
2;"Potr";415.45;1.12;1.32;20
2;"Potr";415.45;0.1;0.3;20
2;"Potr";415.45;2.84;3.04;20
2;"Potr";415.45;0.17;0.37;20
2;"Potr";415.45;0.48;0.68;20
2;"Potr";415.45;1.03;1.23;20
2;"Potr";415.45;0.43;0.63;20
2;"Potr";415.45;1.99;2.19;20
2;"Potr";415.45;1.1;1.3;20
2;"Potr";415.45;1.87;2.07;20
2;"Potr";415.45;3.88;4.08;20
2;"Potr";415.45;1.12;1.32;20
2;"Potr";415.45;2.28;2.48;20
2;"Potr";415.45;0.89;1.09;20
2;"Potr";415.45;2.77;2.97;20
2;"Potr";415.45;0.68;0.88;20
3;"Potr";834.48;3.24;3.44;20
3;"Potr";834.48;1.05;1.25;20
3;"Potr";834.48;0.28;0.48;20
3;"Potr";834.48;0.58;0.78;20
3;"Potr";834.48;0.19;0.39;20
3;"Potr";834.48;3.18;3.38;20
3;"Potr";834.48;0.6;0.8;20
3;"Potr";834.48;2.23;2.43;20
3;"Potr";834.48;1.24;1.44;20
3;"Potr";834.48;0.56;0.76;20
3;"Potr";834.48;2.68;2.88;20
3;"Potr";834.48;0.98;1.18;20
3;"Potr";834.48;2.43;2.63;20
3;"Potr";834.48;0.9;1.1;20
3;"Potr";834.48;1.17;1.37;20
3;"Potr";834.48;-0.02;0.18;20
3;"Potr";834.48;3.75;3.95;20
3;"Potr";834.48;2.37;2.57;20
3;"Potr";834.48;1.21;1.41;20
3;"Potr";834.48;1.84;2.04;20
3;"Potr";834.48;0.51;0.71;20
3;"Potr";834.48;1.55;1.75;20
3;"Potr";834.48;0.61;0.81;20
3;"Potr";834.48;1.14;1.34;20
3;"Potr";834.48;1.68;1.88;20
4;"Potr";854.22;0.04;0.24;20
4;"Potr";854.22;2.69;2.89;20
4;"Potr";854.22;2.71;2.91;20
4;"Potr";854.22;0.4;0.6;20
4;"Potr";854.22;1.64;1.84;20
4;"Potr";854.22;3.04;3.24;20
4;"Potr";854.22;1.2;1.4;20
4;"Potr";854.22;3.45;3.65;20
4;"Potr";854.22;1.64;1.84;20
4;"Potr";854.22;1.05;1.25;20
4;"Potr";854.22;0.47;0.67;20
4;"Potr";854.22;0.21;0.41;20
4;"Potr";854.22;0.81;1.01;20
4;"Potr";854.22;1.16;1.36;20
4;"Potr";854.22;0.75;0.95;20
4;"Potr";854.22;0.41;0.61;20
4;"Potr";854.22;0.49;0.69;20
4;"Potr";854.22;2.85;3.05;20
4;"Potr";854.22;2.07;2.27;20
4;"Potr";854.22;2.78;2.98;20
4;"Potr";854.22;2.2;2.4;20
4;"Potr";854.22;0.98;1.18;20
4;"Potr";854.22;1.73;1.93;20
4;"Potr";854.22;1.94;2.14;20
4;"Potr";854.22;0.41;0.61;20
5;"Potr";1376.6;0.14;0.34;20
5;"Potr";1376.6;0.06;0.26;20
5;"Potr";1376.6;1.36;1.56;20
5;"Potr";1376.6;0.55;0.75;20
5;"Potr";1376.6;0.99;1.19;20
5;"Potr";1376.6;2.14;2.34;20
5;"Potr";1376.6;0.51;0.71;20
5;"Potr";1376.6;0.85;1.05;20
5;"Potr";1376.6;1.38;1.58;20
5;"Potr";1376.6;1.78;1.98;20
5;"Potr";1376.6;0.03;0.23;20
5;"Potr";1376.6;0.77;0.97;20
5;"Potr";1376.6;1.78;1.98;20
5;"Potr";1376.6;1.87;2.07;20
5;"Potr";1376.6;1.62;1.82;20
5;"Potr";1376.6;1.09;1.29;20
5;"Potr";1376.6;3.61;3.81;20
5;"Potr";1376.6;2.03;2.23;20
5;"Potr";1376.6;2.01;2.21;20
5;"Potr";1376.6;0.52;0.72;20
5;"Potr";1376.6;0.44;0.64;20
5;"Potr";1376.6;0.7;0.9;20
5;"Potr";1376.6;3.11;3.31;20
5;"Potr";1376.6;2.34;2.54;20
5;"Potr";1376.6;1.4;1.6;20
6;"Potr";667.12;0.62;0.82;20
6;"Potr";667.12;3.81;4.01;20
6;"Potr";667.12;0.33;0.53;20
6;"Potr";667.12;2.81;3.01;20
6;"Potr";667.12;2.92;3.12;20
6;"Potr";667.12;0.24;0.44;20
6;"Potr";667.12;0.97;1.17;20
6;"Potr";667.12;1.64;1.84;20
6;"Potr";667.12;2.95;3.15;20
6;"Potr";667.12;1.29;1.49;20
6;"Potr";667.12;0.22;0.42;20
6;"Potr";667.12;2.15;2.35;20
6;"Potr";667.12;0.76;0.96;20
6;"Potr";667.12;0.23;0.43;20
6;"Potr";667.12;0.29;0.49;20
6;"Potr";667.12;3.24;3.44;20
6;"Potr";667.12;1.37;1.57;20
6;"Potr";667.12;2.55;2.75;20
6;"Potr";667.12;1.97;2.17;20
6;"Potr";667.12;0.43;0.63;20
6;"Potr";667.12;0.91;1.11;20
6;"Potr";667.12;1.07;1.27;20
6;"Potr";667.12;1.27;1.47;20
6;"Potr";667.12;1.76;1.96;20
6;"Potr";667.12;1.34;1.54;20
7;"Potr";1255.01;1.91;2.11;20
7;"Potr";1255.01;2.02;2.22;20
7;"Potr";1255.01;1.8;2;20
7;"Potr";1255.01;0.42;0.62;20
7;"Potr";1255.01;2.61;2.81;20
7;"Potr";1255.01;3.49;3.69;20
7;"Potr";1255.01;0.98;1.18;20
