"stand_id";"species";"count";"DBH_from";"DBH_to";"age"
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;21.7;21.9;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;25.49;25.69;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;27.08;27.28;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;35.45;35.65;20
"1 0 0 BF71 25 30 34 33 33";"Aspen";797.76;25.32;25.52;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;13.12;13.32;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;31.47;31.67;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;22.76;22.96;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;20.58;20.78;20
"2 1 0 BF99 25 30 34 33 33";"Aspen";573.57;25.74;25.94;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;13.42;13.62;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;29.94;30.14;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;24.86;25.06;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;15.88;16.08;20
"3 2 0 BF99 25 30 34 33 33";"Aspen";236.54;36.09;36.29;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;20.55;20.75;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;18.23;18.43;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;19.35;19.55;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;15.72;15.92;20
"4 3 0 BF99 25 30 34 33 33";"Aspen";617.15;14.57;14.77;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;19.36;19.56;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;27.28;27.48;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;9.4;9.6;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;49.61;49.81;20
"5 4 0 BF99 25 30 34 33 33";"Aspen";418.76;25.41;25.61;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;35.82;36.02;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;29.39;29.59;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;17.25;17.45;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;34.61;34.81;20
"6 5 0 BF99 25 30 34 33 33";"Aspen";967.27;31.97;32.17;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;26.08;26.28;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;29.84;30.04;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;18.03;18.23;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;27.36;27.56;20
"7 6 0 BF99 25 30 34 33 33";"Aspen";733.16;9.72;9.92;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;24.05;24.25;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;16.72;16.92;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;17.65;17.85;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;14.68;14.88;20
"8 7 0 BF99 25 30 34 33 33";"Aspen";180.96;27.16;27.36;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;21.61;21.81;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;29.67;29.87;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;32.22;32.42;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;19.49;19.69;20
"9 8 0 BF99 25 30 34 33 33";"Aspen";253.33;12.21;12.41;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;36.17;36.37;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;19.21;19.41;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;58.8;59;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;18.7;18.9;20
"10 9 0 BF99 25 30 34 33 33";"Aspen";197.47;30.25;30.45;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;23.26;23.46;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;33.14;33.34;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;18.8;19;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;34.57;34.77;20
"11 10 0 BF99 25 30 34 33 33";"Aspen";672.1;26.22;26.42;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;21.34;21.54;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;44.61;44.81;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;17.61;17.81;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;25.68;25.88;20
"12 11 0 BF99 25 30 34 33 33";"Aspen";975.11;27.53;27.73;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;19.69;19.89;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;11.19;11.39;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;13.39;13.59;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;15.57;15.77;20
"13 12 0 BF99 25 30 34 33 33";"Aspen";523.13;29.71;29.91;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;31.56;31.76;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;20.32;20.52;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;18.62;18.82;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;20.37;20.57;20
"14 13 0 BF77 25 30 34 33 33";"Aspen";246.29;28.72;28.92;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;24.98;25.18;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;22.01;22.21;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;20.87;21.07;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;24.72;24.92;20
"15 14 0 BF77 25 30 34 33 33";"Aspen";233.36;58.58;58.78;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;19.23;19.43;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;27.32;27.52;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;19.61;19.81;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;16.57;16.77;20
"16 15 0 BF77 25 30 34 33 33";"Aspen";873.33;21.16;21.36;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;23.81;24.01;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;17.7;17.9;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;35.05;35.25;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;34.42;34.62;20
"17 16 0 DC48 25 30 34 33 33";"Aspen";283.29;24.42;24.62;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;34.97;35.17;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;14.05;14.25;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;36.45;36.65;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;27.47;27.67;20
"18 17 0 DC48 25 30 34 33 33";"Aspen";183.56;40.88;41.08;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;23.46;23.66;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;10.94;11.14;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;40.15;40.35;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;23.24;23.44;20
"19 18 0 DC48 25 30 34 33 33";"Aspen";1012.81;34.99;35.19;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;22.61;22.81;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;24.09;24.29;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;25.52;25.72;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;24.7;24.9;20
"20 19 0 DC48 25 30 34 33 33";"Aspen";1003.89;29.06;29.26;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;22.27;22.47;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;26.44;26.64;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;34.82;35.02;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;10.37;10.57;20
"21 20 0 DC48 25 30 34 33 33";"Aspen";516.96;12.03;12.23;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;27.92;28.12;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;9.66;9.86;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;11.87;12.07;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;27.23;27.43;20
"22 0 1 DC48 25 30 34 33 33";"Aspen";537.44;28.96;29.16;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;15.06;15.26;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;35.4;35.6;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;19.95;20.15;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;24.15;24.35;20
"23 1 1 DC48 25 30 34 33 33";"Aspen";713.91;24.39;24.59;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;19.8;20;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;28;28.2;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;22;22.2;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;27.78;27.98;20
"24 2 1 DC48 25 30 34 33 33";"Aspen";233.24;37.76;37.96;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;24.92;25.12;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;27.05;27.25;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;12.73;12.93;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;23.64;23.84;20
"25 3 1 DC48 25 30 34 33 33";"Aspen";684.93;13.85;14.05;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;19.44;19.64;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;20.79;20.99;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;28.51;28.71;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;14.1;14.3;20
"26 4 1 DC48 25 30 34 33 33";"Aspen";394.74;18.25;18.45;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;30.68;30.88;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;20.32;20.52;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;37.5;37.7;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;23.26;23.46;20
"27 5 1 DC48 25 30 34 33 33";"Aspen";784.3;31.44;31.64;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;35.63;35.83;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;17.82;18.02;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;19.49;19.69;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;16.96;17.16;20
"28 6 1 DC52 25 30 34 33 33";"Aspen";442.62;42.55;42.75;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;22.99;23.19;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;41.76;41.96;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;31.11;31.31;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;20.84;21.04;20
"29 7 1 DC52 25 30 34 33 33";"Aspen";895.13;35.52;35.72;20
"30 8 1 DC52 25 30 34 33 33";"Aspen";700.93;18.48;18.68;20
"30 8 1 DC52 25 30 34 33 33";"Aspen";700.93;15.88;16.08;20
"30 8 1 DC52 25 30 34 33 33";"Aspen";700.93;34.45;34.65;20
"30 8 1 DC52 25 30 34 33 33";"Aspen";700.93;15.27;15.47;20
"30 8 1 DC52 25 30 34 33 33";"Aspen";700.93;26.9;27.1;20
"31 9 1 DC52 25 30 34 33 33";"Aspen";934.87;44.07;44.27;20
"31 9 1 DC52 25 30 34 33 33";"Aspen";934.87;14.74;14.94;20
"31 9 1 DC52 25 30 34 33 33";"Aspen";934.87;20.64;20.84;20
"31 9 1 DC52 25 30 34 33 33";"Aspen";934.87;33.38;33.58;20
"31 9 1 DC52 25 30 34 33 33";"Aspen";934.87;15.79;15.99;20
"32 10 1 DC52 25 30 34 33 33";"Aspen";711.47;29.8;30;20
"32 10 1 DC52 25 30 34 33 33";"Aspen";711.47;22.14;22.34;20
"32 10 1 DC52 25 30 34 33 33";"Aspen";711.47;32.36;32.56;20
"32 10 1 DC52 25 30 34 33 33";"Aspen";711.47;42.49;42.69;20
"32 10 1 DC52 25 30 34 33 33";"Aspen";711.47;21.62;21.82;20
"33 11 1 DC52 25 30 34 33 33";"Aspen";980.72;30.2;30.4;20
"33 11 1 DC52 25 30 34 33 33";"Aspen";980.72;25.12;25.32;20
"33 11 1 DC52 25 30 34 33 33";"Aspen";980.72;17.01;17.21;20
