"stand_id";"species";"count";"height_from";"height_to";"age"
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.56;1.76;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.72;0.92;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.64;0.84;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;2.23;2.43;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.19;0.39;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.16;1.36;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;2.05;2.25;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.31;1.51;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.79;1.99;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.24;1.44;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.38;1.58;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.58;0.78;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.24;1.44;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.69;1.89;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.98;1.18;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;2.52;2.72;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.07;1.27;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;3.15;3.35;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.48;1.68;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;2.82;3.02;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.54;0.74;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.34;1.54;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;1.72;1.92;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.86;1.06;20
"1 0 0 BF71 55 30 34 33 33";"Aspen";936.02;0.8;1;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.29;0.49;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;1.52;1.72;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;3.25;3.45;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.67;0.87;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;2.29;2.49;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;1.53;1.73;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.51;0.71;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.68;0.88;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;1.27;1.47;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;1.12;1.32;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.1;0.3;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;2.84;3.04;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.17;0.37;20
"2 1 0 BF99 55 30 34 33 33";"Aspen";448.18;0.48;0.68;20
